NAME,LATITUDE,LONGITUDE
"Afghanistan/Zaranj",30.95962,61.86037
"Afghanistan/Bāzār-e Yakāwlang",34.73525,66.97379
"Afghanistan/Taloqan",36.73605,69.53451
"Afghanistan/Shīnḏanḏ",33.30294,62.1474
"Afghanistan/Shibirghān",36.66757,65.7529
"Afghanistan/Shahrak",34.10737,64.3052
"Afghanistan/Sar-e Pul",36.21544,65.93249
"Afghanistan/Sang-e Chārak",35.84972,66.43694
"Afghanistan/Aībak",36.26468,68.01551
"Afghanistan/Rustāq",37.12604,69.83045
"Afghanistan/Qarqīn",37.41853,66.04358
"Afghanistan/Qarāwul",37.21959,68.7802
"Afghanistan/Pul-e Khumrī",35.94458,68.71512
"Afghanistan/Paghmān",34.58787,68.95091
"Afghanistan/Nīlī",33.72178,66.13023
"Afghanistan/Nahrīn",36.0649,69.13343
"Afghanistan/Maymana",35.92139,64.78361
"Afghanistan/Mehtar Lām",34.67139,70.20944
"Afghanistan/Mazār-e Sharīf",36.70904,67.11087
"Afghanistan/Lashkar Gāh",31.59382,64.37161
"Afghanistan/Kushk",33.29565,61.95221
"Afghanistan/Kunduz",36.72895,68.857
"Afghanistan/Khōst",33.33951,69.92041
"Afghanistan/Khulm",36.69736,67.69826
"Afghanistan/Khāsh",31.52919,62.79055
"Afghanistan/Khān Neshīn",30.5488,63.7888
"Afghanistan/Khanabad",36.68304,69.11279
"Afghanistan/Karukh",34.48108,62.5863
"Afghanistan/Kandahār",31.61332,65.71013
"Afghanistan/Kabul",34.52813,69.17233
"Afghanistan/Jurm",36.86477,70.83421
"Afghanistan/Jalālābād",34.42647,70.45153
"Afghanistan/Jabal os Saraj",35.11833,69.23778
"Afghanistan/Herāt",34.34817,62.19967
"Afghanistan/Ghormach",35.73062,63.78264
"Afghanistan/Ghazni",33.55391,68.42096
"Afghanistan/Gereshk",31.82089,64.57005
"Afghanistan/Gardez",33.59744,69.22592
"Afghanistan/Fayzabad",37.11664,70.58002
"Afghanistan/Farah",32.37451,62.11638
"Afghanistan/Istālif",34.83268,69.07756
"Afghanistan/Eslam Qaleh",34.66667,61.06667
"Afghanistan/Charikar",35.01361,69.17139
"Afghanistan/Baraki Barak",33.96744,68.9492
"Afghanistan/Bāmyān",34.82156,67.82734
"Afghanistan/Balkh",36.75635,66.8972
"Afghanistan/Bahārak",37.00254,70.90664
"Afghanistan/Baghlān",36.13068,68.70829
"Afghanistan/Ārt Khwājah",37.08571,69.47958
"Afghanistan/Āsmār",35.03333,71.35809
"Afghanistan/Asadābād",34.87311,71.14697
"Afghanistan/Andkhōy",36.95293,65.12376
"Afghanistan/Bāzārak",35.31292,69.51519
"Afghanistan/Markaz-e Woluswalī-ye Āchīn",34.12583,70.70778
"Åland Islands/Mariehamn",60.09726,19.93481
"Albania/Sarandë",39.87534,20.00477
"Albania/Pogradec",40.9025,20.6525
